"Participant" "Driving" "Close" "Far"
1 "Automatic" 0.944 0.183
2 "Automatic" 0.911 0.266
3 "Automatic" 0.834 0.486
4 "Automatic" 0.87 0.418
5 "Automatic" 0.873 0.489
6 "Automatic" 0.812 0.47
7 "Automatic" 0.805 0.492
8 "Automatic" 0.906 0.456
9 "Automatic" 0.821 0.484
10 "Automatic" 0.886 0.49
11 "Automatic" 0.831 0.473
12 "Automatic" 0.818 0.45
13 "Automatic" 0.872 0.416
14 "Automatic" 0.889 0.382
15 "Automatic" 0.862 0.441
16 "Automatic" 0.851 0.412
17 "Automatic" 0.816 0.368
18 "Automatic" 0.857 0.425
19 "Automatic" 0.928 0.341
20 "Automatic" 0.859 0.362
21 "Automatic" 0.846 0.43
22 "Automatic" 0.9 0.391
23 "Automatic" 0.923 0.362
24 "Automatic" 0.903 0.323
25 "Automatic" 0.96 0.276
26 "Automatic" 0.898 0.392
27 "Automatic" 0.913 0.348
28 "Automatic" 0.957 0.232
29 "Automatic" 0.901 0.45
30 "Automatic" 0.922 0.419
31 "Manual" 0.939 0.404
32 "Manual" 0.919 0.432
33 "Manual" 0.93 0.271
34 "Manual" 0.952 0.32
35 "Manual" 0.96 0.207
36 "Manual" 0.958 0.297
37 "Manual" 0.96 0.125
38 "Manual" 0.922 0.411
39 "Manual" 0.96 0.26
40 "Manual" 0.96 0.308
41 "Manual" 0.96 0.365
42 "Manual" 0.96 0.202
43 "Manual" 0.96 0.363
44 "Manual" 0.892 0.266
45 "Manual" 0.934 0.26
46 "Manual" 0.945 0.424
47 "Manual" 0.942 0.414
48 "Manual" 0.962 0.183
49 "Manual" 0.898 0.321
50 "Manual" 0.944 0.143
51 "Manual" 0.96 0.379
52 "Manual" 0.96 0.204
53 "Manual" 0.914 0.256
54 "Manual" 0.96 0.255
55 "Manual" 0.944 0.325
56 "Manual" 0.902 0.373
57 "Manual" 0.933 0.28
58 "Manual" 0.961 0.364
59 "Manual" 0.937 0.257
60 "Manual" 0.934 0.174
