"Participant" "Driving" "Close" "Far"
1 "Automatic" 0.048 0.107
2 "Automatic" 0.117 0.239
3 "Automatic" 0.157 0.536
4 "Automatic" 0.203 0.375
5 "Automatic" 0.139 0.607
6 "Automatic" 0.212 0.564
7 "Automatic" 0.207 0.609
8 "Automatic" 0.1 0.553
9 "Automatic" 0.235 0.63
10 "Automatic" 0.126 0.622
11 "Automatic" 0.265 0.491
12 "Automatic" 0.204 0.493
13 "Automatic" 0.157 0.377
14 "Automatic" 0.137 0.385
15 "Automatic" 0.162 0.475
16 "Automatic" 0.2 0.454
17 "Automatic" 0.368 0.499
18 "Automatic" 0.155 0.429
19 "Automatic" 0.087 0.273
20 "Automatic" 0.197 0.369
21 "Automatic" 0.193 0.398
22 "Automatic" 0.124 0.39
23 "Automatic" 0.086 0.393
24 "Automatic" 0.09 0.282
25 "Automatic" 0.043 0.273
26 "Automatic" 0.12 0.337
27 "Automatic" 0.129 0.311
28 "Automatic" 0.056 0.148
29 "Automatic" 0.107 0.442
30 "Automatic" 0.108 0.406
31 "Manual" 0.05 0.464
32 "Manual" 0.073 0.478
33 "Manual" 0.05 0.238
34 "Manual" 0.007 0.307
35 "Manual" 0.003 0.121
36 "Manual" 0.012 0.237
37 "Manual" 0 0.016
38 "Manual" 0.044 0.449
39 "Manual" 0.026 0.25
40 "Manual" 0.001 0.31
41 "Manual" 0 0.393
42 "Manual" 0 0.112
43 "Manual" 0 0.369
44 "Manual" 0.117 0.179
45 "Manual" 0.035 0.2
46 "Manual" 0.025 0.453
47 "Manual" 0.05 0.474
48 "Manual" 0.008 0.085
49 "Manual" 0.156 0.279
50 "Manual" 0.067 0.038
51 "Manual" 0 0.364
52 "Manual" 0.025 0.115
53 "Manual" 0.049 0.199
54 "Manual" 0 0.242
55 "Manual" 0.038 0.29
56 "Manual" 0.062 0.277
57 "Manual" 0.046 0.271
58 "Manual" 0.012 0.368
59 "Manual" 0.075 0.235
60 "Manual" 0.061 0.068
