Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order
Chrome,1536,763,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,const,300,200,0,148,3.5,1,[],[],350.7,157.5,-1.5,7777,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,400,300,0,93,3.5,0,[],[],200.4,234.5,-5,6362,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,300,200,0,75,3.5,0,[],[],601.2,3.5,9,6363,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,300,200,0,105,3.5,1,[],[],317.3,157.5,5.5,7064,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,500,400,0,121,3.5,0,[],[],283.9,227.5,-19,7190,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,400,300,0,90,3.5,0,[],[],534.4,136.5,-22.5,8327,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b5896dc4f5ac5000192f36a,49,Female,2020-07-27_11h48.40.531,AvatarAutomaticProl,3.2.2,Win32,60,5b5896dc4f5ac5000192f36a,5f1b026ff9f4e82811599350,5f1eb0eec5daea0008b2415a,,300,200,0,106,3.5,1,[],[],417.5,157.5,9,7626,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
