Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1366,625,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,const,500,-400,0,104,3.5,0,[],[],434.2,-171.5,-15.5,10463,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,,400,300,0,60,3.5,0,[],[],417.5,171.5,-12,8698,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,,300,-200,0,85,3.5,1,[],[],350.7,-161,16,7200,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,,300,200,0,111,3.5,0,[],[],601.2,143.5,-5,7465,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,,300,-200,0,122,3.5,1,[],[],350.7,-157.5,2,7582,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,,300,-200,0,148,3.5,1,[],[],467.6,-157.5,12.5,6197,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,,300,200,0,136,3.5,1,[],[],517.7,161,16,6314,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,,300,-200,0,63,3.5,1,[],[],267.2,-157.5,5.5,4765,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,,400,300,0,90,3.5,0,[],[],768.2,3.5,2,5847,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,,300,200,0,140,3.5,1,[],[],317.3,157.5,9,6248,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,,500,400,0,89,3.5,0,[],[],334,206.5,-12,5581,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,,200,-100,0,94,3.5,1,[],[],484.3,-59.5,12.5,5066,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,,500,-400,0,97,3.5,0,[],[],183.7,-238,-5,5499,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,,300,200,0,127,3.5,0,[],[],350.7,129.5,-5,6213,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b830542b0d72600018dc280,29,Female,2020-07-27_17h00.29.526,AvatarAutomaticProl,3.2.2,Win32,60,5b830542b0d72600018dc280,5f1b026ff9f4e82811599350,5f1eebd83aeccb04fc616a52,,200,100,0,104,3.5,1,[],[],217.1,56,2,4486,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
