Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order
Chrome,1536,711,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,const,400,300,0,60,3.5,0,[],[],300.6,248.5,9,13021,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,200,100,0,129,3.5,1,[],[],434.2,56,-8.5,7596,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,400,-300,0,101,3.5,0,[],[],300.6,-220.5,-5,7141,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,500,-400,0,104,3.5,0,[],[],384.1,-245,5.5,7120,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,200,100,0,144,3.5,1,[],[],450.9,59.5,12.5,5387,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,500,-400,0,143,3.5,0,[],[],450.9,-213.5,-1.5,6995,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,400,-300,0,88,3.5,0,[],[],400.8,-238,9,5228,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,400,300,0,74,3.5,1,[],[],200.4,255.5,5.5,33917,1,0,1,0,1,0,48,0,48,0,1,47
