Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1880,939,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5d1f5c20aaa27b001954de31,22,male,2020-07-27_17h59.57.814,AvatarAutomaticProl,3.2.2,Win32,60,5d1f5c20aaa27b001954de31,5f1b026ff9f4e82811599350,5f1eebd5391c9b059c4d6bef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5d1f5c20aaa27b001954de31,22,male,2020-07-27_17h59.57.814,AvatarAutomaticProl,3.2.2,Win32,60,5d1f5c20aaa27b001954de31,5f1b026ff9f4e82811599350,5f1eebd5391c9b059c4d6bef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5d1f5c20aaa27b001954de31,22,male,2020-07-27_17h59.57.814,AvatarAutomaticProl,3.2.2,Win32,60,5d1f5c20aaa27b001954de31,5f1b026ff9f4e82811599350,5f1eebd5391c9b059c4d6bef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d1f5c20aaa27b001954de31,22,male,2020-07-27_17h59.57.814,AvatarAutomaticProl,3.2.2,Win32,60,5d1f5c20aaa27b001954de31,5f1b026ff9f4e82811599350,5f1eebd5391c9b059c4d6bef,const,400,300,0,120,3.5,1,[],[],217.1,259,-12,8776,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d1f5c20aaa27b001954de31,22,male,2020-07-27_17h59.57.814,AvatarAutomaticProl,3.2.2,Win32,60,5d1f5c20aaa27b001954de31,5f1b026ff9f4e82811599350,5f1eebd5391c9b059c4d6bef,,200,100,0,92,3.5,1,[],[],233.8,56,5.5,5290,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d1f5c20aaa27b001954de31,22,male,2020-07-27_17h59.57.814,AvatarAutomaticProl,3.2.2,Win32,60,5d1f5c20aaa27b001954de31,5f1b026ff9f4e82811599350,5f1eebd5391c9b059c4d6bef,,200,100,0,128,3.5,1,[],[],283.9,56,9,5255,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d1f5c20aaa27b001954de31,22,male,2020-07-27_17h59.57.814,AvatarAutomaticProl,3.2.2,Win32,60,5d1f5c20aaa27b001954de31,5f1b026ff9f4e82811599350,5f1eebd5391c9b059c4d6bef,,500,-400,0,105,3.5,0,[],[],434.2,-161,5.5,8193,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d1f5c20aaa27b001954de31,22,male,2020-07-27_17h59.57.814,AvatarAutomaticProl,3.2.2,Win32,60,5d1f5c20aaa27b001954de31,5f1b026ff9f4e82811599350,5f1eebd5391c9b059c4d6bef,,300,-200,0,72,3.5,1,[],[],250.5,-161,16,3987,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d1f5c20aaa27b001954de31,22,male,2020-07-27_17h59.57.814,AvatarAutomaticProl,3.2.2,Win32,60,5d1f5c20aaa27b001954de31,5f1b026ff9f4e82811599350,5f1eebd5391c9b059c4d6bef,,200,-100,0,135,3.5,1,[],[],300.6,-59.5,-19,5539,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d1f5c20aaa27b001954de31,22,male,2020-07-27_17h59.57.814,AvatarAutomaticProl,3.2.2,Win32,60,5d1f5c20aaa27b001954de31,5f1b026ff9f4e82811599350,5f1eebd5391c9b059c4d6bef,,500,400,0,136,3.5,0,[],[],501,231,26.5,6490,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
