Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1536,674,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,const,200,100,0,91,3.5,1,[],[],300.6,56,9,4559,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,400,300,0,126,3.5,0,[],[],200.4,231,-8.5,6723,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,200,100,0,123,3.5,1,[],[],350.7,56,-1.5,5051,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,200,100,0,61,3.5,1,[],[],450.9,56,9,4460,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,400,300,0,68,3.5,0,[],[],400.8,241.5,12.5,4607,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,200,100,0,92,3.5,1,[],[],400.8,59.5,12.5,5009,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,200,100,0,104,3.5,1,[],[],367.4,59.5,-15.5,5077,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,300,-200,0,103,3.5,1,[],[],250.5,-157.5,-8.5,4708,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,400,-300,0,83,3.5,0,[],[],300.6,-224,-8.5,5307,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,500,400,0,92,3.5,0,[],[],250.5,262.5,2,5057,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,300,-200,0,118,3.5,1,[],[],384.1,-157.5,-1.5,4791,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,200,-100,0,111,3.5,1,[],[],534.4,-56,-1.5,6224,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,300,-200,0,125,3.5,1,[],[],684.7,-157.5,-5,6023,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,500,-400,0,124,3.5,0,[],[],334,-224,9,5890,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,200,-100,0,117,3.5,1,[],[],317.3,-66.5,30,4243,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,500,-400,0,96,3.5,0,[],[],467.6,-206.5,-5,6073,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,400,300,0,110,3.5,0,[],[],334,245,-1.5,4958,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,500,400,0,149,3.5,0,[],[],267.2,283.5,26.5,6321,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,500,-400,0,125,3.5,0,[],[],367.4,-241.5,12.5,6255,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,400,300,0,66,3.5,0,[],[],267.2,238,5.5,4758,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,300,-200,0,90,3.5,1,[],[],334,-157.5,9,5157,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,300,200,0,64,3.5,1,[],[],283.9,157.5,5.5,4376,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,500,-400,0,88,3.5,0,[],[],350.7,-248.5,5.5,4790,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,400,300,0,74,3.5,0,[],[],350.7,241.5,-5,4992,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,500,400,0,149,3.5,0,[],[],317.3,248.5,2,6572,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,400,-300,0,107,3.5,0,[],[],384.1,-245,19.5,4974,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,400,-300,0,83,3.5,0,[],[],384.1,-252,16,4941,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,300,-200,0,87,3.5,1,[],[],367.4,-157.5,-5,4941,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,400,300,0,88,3.5,0,[],[],283.9,248.5,-12,4927,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,300,200,0,132,3.5,1,[],[],450.9,161,-15.5,5489,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,200,100,0,143,3.5,1,[],[],300.6,59.5,12.5,5073,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,300,-200,0,117,3.5,1,[],[],300.6,-157.5,5.5,4892,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,300,200,0,119,3.5,1,[],[],283.9,157.5,9,4961,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,200,100,0,134,3.5,1,[],[],167,56,5.5,4413,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,300,-200,0,137,3.5,1,[],[],334,-157.5,12.5,5058,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,500,-400,0,146,3.5,0,[],[],217.1,-262.5,-8.5,6155,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,400,300,0,74,3.5,0,[],[],250.5,234.5,-19,4727,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d489bb062ed9000157adb20,27,Female,2020-07-27_11h48.59.627,AvatarAutomaticProl,3.2.2,Win32,60,5d489bb062ed9000157adb20,5f1b026ff9f4e82811599350,5f1eb0f60e2a0d0009d05290,,500,-400,0,145,3.5,0,[],[],334,-238,-12,6306,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
