Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1366,625,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5dc9ef9a5d81cd71153f8f70,20,Genderqueer (born female),2020-07-27_17h20.05.858,AvatarAutomaticProl,3.2.2,Win32,60,5dc9ef9a5d81cd71153f8f70,5f1b026ff9f4e82811599350,5f1eeeb3ec367a0603a60d84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5dc9ef9a5d81cd71153f8f70,20,Genderqueer (born female),2020-07-27_17h20.05.858,AvatarAutomaticProl,3.2.2,Win32,60,5dc9ef9a5d81cd71153f8f70,5f1b026ff9f4e82811599350,5f1eeeb3ec367a0603a60d84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5dc9ef9a5d81cd71153f8f70,20,Genderqueer (born female),2020-07-27_17h20.05.858,AvatarAutomaticProl,3.2.2,Win32,60,5dc9ef9a5d81cd71153f8f70,5f1b026ff9f4e82811599350,5f1eeeb3ec367a0603a60d84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5dc9ef9a5d81cd71153f8f70,20,Genderqueer (born female),2020-07-27_17h20.05.858,AvatarAutomaticProl,3.2.2,Win32,60,5dc9ef9a5d81cd71153f8f70,5f1b026ff9f4e82811599350,5f1eeeb3ec367a0603a60d84,const,200,100,0,117,3.5,1,[],[],233.8,56,-1.5,6684,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5dc9ef9a5d81cd71153f8f70,20,Genderqueer (born female),2020-07-27_17h20.05.858,AvatarAutomaticProl,3.2.2,Win32,60,5dc9ef9a5d81cd71153f8f70,5f1b026ff9f4e82811599350,5f1eeeb3ec367a0603a60d84,,500,400,0,69,3.5,0,[],[],400.8,238,9,6483,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5dc9ef9a5d81cd71153f8f70,20,Genderqueer (born female),2020-07-27_17h20.05.858,AvatarAutomaticProl,3.2.2,Win32,60,5dc9ef9a5d81cd71153f8f70,5f1b026ff9f4e82811599350,5f1eeeb3ec367a0603a60d84,,500,400,0,129,3.5,0,[],[],350.7,217,-15.5,6482,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5dc9ef9a5d81cd71153f8f70,20,Genderqueer (born female),2020-07-27_17h20.05.858,AvatarAutomaticProl,3.2.2,Win32,60,5dc9ef9a5d81cd71153f8f70,5f1b026ff9f4e82811599350,5f1eeeb3ec367a0603a60d84,,500,-400,0,97,3.5,0,[],[],350.7,-245,-1.5,6117,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5dc9ef9a5d81cd71153f8f70,20,Genderqueer (born female),2020-07-27_17h20.05.858,AvatarAutomaticProl,3.2.2,Win32,60,5dc9ef9a5d81cd71153f8f70,5f1b026ff9f4e82811599350,5f1eeeb3ec367a0603a60d84,,300,200,0,142,3.5,1,[],[],384.1,161,16,5499,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5dc9ef9a5d81cd71153f8f70,20,Genderqueer (born female),2020-07-27_17h20.05.858,AvatarAutomaticProl,3.2.2,Win32,60,5dc9ef9a5d81cd71153f8f70,5f1b026ff9f4e82811599350,5f1eeeb3ec367a0603a60d84,,300,200,0,69,3.5,1,[],[],283.9,157.5,-1.5,4666,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5dc9ef9a5d81cd71153f8f70,20,Genderqueer (born female),2020-07-27_17h20.05.858,AvatarAutomaticProl,3.2.2,Win32,60,5dc9ef9a5d81cd71153f8f70,5f1b026ff9f4e82811599350,5f1eeeb3ec367a0603a60d84,,400,-300,0,122,3.5,0,[],[],350.7,-217,2,6050,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
