Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1536,760,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5e307812c0b28907a0a74027,35,female,2020-07-27_11h48.17.722,AvatarAutomaticProl,3.2.2,Win32,60,5e307812c0b28907a0a74027,5f1b026ff9f4e82811599350,5f1eb0c90b06ce000907e737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5e307812c0b28907a0a74027,35,female,2020-07-27_11h48.17.722,AvatarAutomaticProl,3.2.2,Win32,60,5e307812c0b28907a0a74027,5f1b026ff9f4e82811599350,5f1eb0c90b06ce000907e737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5e307812c0b28907a0a74027,35,female,2020-07-27_11h48.17.722,AvatarAutomaticProl,3.2.2,Win32,60,5e307812c0b28907a0a74027,5f1b026ff9f4e82811599350,5f1eb0c90b06ce000907e737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e307812c0b28907a0a74027,35,female,2020-07-27_11h48.17.722,AvatarAutomaticProl,3.2.2,Win32,60,5e307812c0b28907a0a74027,5f1b026ff9f4e82811599350,5f1eb0c90b06ce000907e737,const,300,-200,0,149,3.5,1,[],[],501,-157.5,-5,7543,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e307812c0b28907a0a74027,35,female,2020-07-27_11h48.17.722,AvatarAutomaticProl,3.2.2,Win32,60,5e307812c0b28907a0a74027,5f1b026ff9f4e82811599350,5f1eb0c90b06ce000907e737,,400,300,0,78,3.5,0,[],[],317.3,248.5,2,5327,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e307812c0b28907a0a74027,35,female,2020-07-27_11h48.17.722,AvatarAutomaticProl,3.2.2,Win32,60,5e307812c0b28907a0a74027,5f1b026ff9f4e82811599350,5f1eb0c90b06ce000907e737,,300,200,0,73,3.5,0,[],[],300.6,77,12.5,6794,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e307812c0b28907a0a74027,35,female,2020-07-27_11h48.17.722,AvatarAutomaticProl,3.2.2,Win32,60,5e307812c0b28907a0a74027,5f1b026ff9f4e82811599350,5f1eb0c90b06ce000907e737,,200,100,0,106,3.5,1,[],[],350.7,66.5,26.5,5412,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e307812c0b28907a0a74027,35,female,2020-07-27_11h48.17.722,AvatarAutomaticProl,3.2.2,Win32,60,5e307812c0b28907a0a74027,5f1b026ff9f4e82811599350,5f1eb0c90b06ce000907e737,,500,-400,0,98,3.5,0,[],[],417.5,-185.5,9,6210,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e307812c0b28907a0a74027,35,female,2020-07-27_11h48.17.722,AvatarAutomaticProl,3.2.2,Win32,60,5e307812c0b28907a0a74027,5f1b026ff9f4e82811599350,5f1eb0c90b06ce000907e737,,200,100,0,73,3.5,1,[],[],250.5,56,-8.5,5295,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e307812c0b28907a0a74027,35,female,2020-07-27_11h48.17.722,AvatarAutomaticProl,3.2.2,Win32,60,5e307812c0b28907a0a74027,5f1b026ff9f4e82811599350,5f1eb0c90b06ce000907e737,,400,-300,0,122,3.5,1,[],[],334,-266,26.5,5877,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
