Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1366,657,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5e8346cef38186069077abef,29,Male,2020-07-27_16h59.45.604,AvatarAutomaticProl,3.2.2,Win32,60,5e8346cef38186069077abef,5f1b026ff9f4e82811599350,5f1eebc08cb6d804d0fdb73c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5e8346cef38186069077abef,29,Male,2020-07-27_16h59.45.604,AvatarAutomaticProl,3.2.2,Win32,60,5e8346cef38186069077abef,5f1b026ff9f4e82811599350,5f1eebc08cb6d804d0fdb73c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5e8346cef38186069077abef,29,Male,2020-07-27_16h59.45.604,AvatarAutomaticProl,3.2.2,Win32,60,5e8346cef38186069077abef,5f1b026ff9f4e82811599350,5f1eebc08cb6d804d0fdb73c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e8346cef38186069077abef,29,Male,2020-07-27_16h59.45.604,AvatarAutomaticProl,3.2.2,Win32,60,5e8346cef38186069077abef,5f1b026ff9f4e82811599350,5f1eebc08cb6d804d0fdb73c,const,500,-400,0,61,3.5,0,[],[],484.3,-210,-8.5,11647,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e8346cef38186069077abef,29,Male,2020-07-27_16h59.45.604,AvatarAutomaticProl,3.2.2,Win32,60,5e8346cef38186069077abef,5f1b026ff9f4e82811599350,5f1eebc08cb6d804d0fdb73c,,300,-200,0,120,3.5,1,[],[],400.8,-161,19.5,7284,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e8346cef38186069077abef,29,Male,2020-07-27_16h59.45.604,AvatarAutomaticProl,3.2.2,Win32,60,5e8346cef38186069077abef,5f1b026ff9f4e82811599350,5f1eebc08cb6d804d0fdb73c,,400,300,0,138,3.5,0,[],[],233.8,241.5,-1.5,9978,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e8346cef38186069077abef,29,Male,2020-07-27_16h59.45.604,AvatarAutomaticProl,3.2.2,Win32,60,5e8346cef38186069077abef,5f1b026ff9f4e82811599350,5f1eebc08cb6d804d0fdb73c,,300,200,0,126,3.5,1,[],[],334,161,-15.5,7269,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e8346cef38186069077abef,29,Male,2020-07-27_16h59.45.604,AvatarAutomaticProl,3.2.2,Win32,60,5e8346cef38186069077abef,5f1b026ff9f4e82811599350,5f1eebc08cb6d804d0fdb73c,,400,300,0,132,3.5,0,[],[],334,248.5,-1.5,5782,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e8346cef38186069077abef,29,Male,2020-07-27_16h59.45.604,AvatarAutomaticProl,3.2.2,Win32,60,5e8346cef38186069077abef,5f1b026ff9f4e82811599350,5f1eebc08cb6d804d0fdb73c,,500,-400,0,84,3.5,0,[],[],450.9,-199.5,5.5,5214,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e8346cef38186069077abef,29,Male,2020-07-27_16h59.45.604,AvatarAutomaticProl,3.2.2,Win32,60,5e8346cef38186069077abef,5f1b026ff9f4e82811599350,5f1eebc08cb6d804d0fdb73c,,500,-400,0,102,3.5,0,[],[],367.4,-108.5,23,6718,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e8346cef38186069077abef,29,Male,2020-07-27_16h59.45.604,AvatarAutomaticProl,3.2.2,Win32,60,5e8346cef38186069077abef,5f1b026ff9f4e82811599350,5f1eebc08cb6d804d0fdb73c,,300,200,0,81,3.5,1,[],[],233.8,157.5,2,5463,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
