Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1920,937,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5e8b2a3044d8747e29550203please enter your prolific ID here,20,Male,2020-07-28_00h59.37.088,AvatarAutomaticProl,3.2.2,Win32,60,5e8b2a3044d8747e29550203,5f1b026ff9f4e82811599350,5f1eebb972c1fd04f3dccb9c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5e8b2a3044d8747e29550203please enter your prolific ID here,20,Male,2020-07-28_00h59.37.088,AvatarAutomaticProl,3.2.2,Win32,60,5e8b2a3044d8747e29550203,5f1b026ff9f4e82811599350,5f1eebb972c1fd04f3dccb9c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5e8b2a3044d8747e29550203please enter your prolific ID here,20,Male,2020-07-28_00h59.37.088,AvatarAutomaticProl,3.2.2,Win32,60,5e8b2a3044d8747e29550203,5f1b026ff9f4e82811599350,5f1eebb972c1fd04f3dccb9c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e8b2a3044d8747e29550203please enter your prolific ID here,20,Male,2020-07-28_00h59.37.088,AvatarAutomaticProl,3.2.2,Win32,60,5e8b2a3044d8747e29550203,5f1b026ff9f4e82811599350,5f1eebb972c1fd04f3dccb9c,const,300,200,0,69,3.5,1,[],[],300.6,157.5,-1.5,4232,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e8b2a3044d8747e29550203please enter your prolific ID here,20,Male,2020-07-28_00h59.37.088,AvatarAutomaticProl,3.2.2,Win32,60,5e8b2a3044d8747e29550203,5f1b026ff9f4e82811599350,5f1eebb972c1fd04f3dccb9c,,500,-400,0,123,3.5,0,[],[],283.9,-196,5.5,5983,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e8b2a3044d8747e29550203please enter your prolific ID here,20,Male,2020-07-28_00h59.37.088,AvatarAutomaticProl,3.2.2,Win32,60,5e8b2a3044d8747e29550203,5f1b026ff9f4e82811599350,5f1eebb972c1fd04f3dccb9c,,400,-300,0,61,3.5,0,[],[],484.3,-224,12.5,4717,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e8b2a3044d8747e29550203please enter your prolific ID here,20,Male,2020-07-28_00h59.37.088,AvatarAutomaticProl,3.2.2,Win32,60,5e8b2a3044d8747e29550203,5f1b026ff9f4e82811599350,5f1eebb972c1fd04f3dccb9c,,500,400,0,114,3.5,0,[],[],283.9,245,-15.5,5367,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e8b2a3044d8747e29550203please enter your prolific ID here,20,Male,2020-07-28_00h59.37.088,AvatarAutomaticProl,3.2.2,Win32,60,5e8b2a3044d8747e29550203,5f1b026ff9f4e82811599350,5f1eebb972c1fd04f3dccb9c,,300,200,0,134,3.5,1,[],[],217.1,157.5,5.5,5133,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e8b2a3044d8747e29550203please enter your prolific ID here,20,Male,2020-07-28_00h59.37.088,AvatarAutomaticProl,3.2.2,Win32,60,5e8b2a3044d8747e29550203,5f1b026ff9f4e82811599350,5f1eebb972c1fd04f3dccb9c,,400,-300,0,93,3.5,0,[],[],434.2,-213.5,12.5,4603,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e8b2a3044d8747e29550203please enter your prolific ID here,20,Male,2020-07-28_00h59.37.088,AvatarAutomaticProl,3.2.2,Win32,60,5e8b2a3044d8747e29550203,5f1b026ff9f4e82811599350,5f1eebb972c1fd04f3dccb9c,,200,100,0,139,3.5,1,[],[],350.7,63,23,4633,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
