Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Firefox,1536,750,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5ea954d9074a4a02c77dd184,23,Male,2020-07-27_16h10.47.786,AvatarAutomaticProl,3.2.2,Win32,60,5ea954d9074a4a02c77dd184,5f1b026ff9f4e82811599350,5f1eebc2c4175b052410d335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5ea954d9074a4a02c77dd184,23,Male,2020-07-27_16h10.47.786,AvatarAutomaticProl,3.2.2,Win32,60,5ea954d9074a4a02c77dd184,5f1b026ff9f4e82811599350,5f1eebc2c4175b052410d335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5ea954d9074a4a02c77dd184,23,Male,2020-07-27_16h10.47.786,AvatarAutomaticProl,3.2.2,Win32,60,5ea954d9074a4a02c77dd184,5f1b026ff9f4e82811599350,5f1eebc2c4175b052410d335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ea954d9074a4a02c77dd184,23,Male,2020-07-27_16h10.47.786,AvatarAutomaticProl,3.2.2,Win32,60,5ea954d9074a4a02c77dd184,5f1b026ff9f4e82811599350,5f1eebc2c4175b052410d335,const,500,-400,0,130,3.5,0,[],[],367.4,-245,2,11462,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ea954d9074a4a02c77dd184,23,Male,2020-07-27_16h10.47.786,AvatarAutomaticProl,3.2.2,Win32,60,5ea954d9074a4a02c77dd184,5f1b026ff9f4e82811599350,5f1eebc2c4175b052410d335,,500,400,0,140,3.5,0,[],[],450.9,245,23,7530,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ea954d9074a4a02c77dd184,23,Male,2020-07-27_16h10.47.786,AvatarAutomaticProl,3.2.2,Win32,60,5ea954d9074a4a02c77dd184,5f1b026ff9f4e82811599350,5f1eebc2c4175b052410d335,,200,100,0,86,3.5,1,[],[],217.1,56,9,6014,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ea954d9074a4a02c77dd184,23,Male,2020-07-27_16h10.47.786,AvatarAutomaticProl,3.2.2,Win32,60,5ea954d9074a4a02c77dd184,5f1b026ff9f4e82811599350,5f1eebc2c4175b052410d335,,300,200,0,143,3.5,1,[],[],300.6,157.5,9,7331,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ea954d9074a4a02c77dd184,23,Male,2020-07-27_16h10.47.786,AvatarAutomaticProl,3.2.2,Win32,60,5ea954d9074a4a02c77dd184,5f1b026ff9f4e82811599350,5f1eebc2c4175b052410d335,,400,-300,0,123,3.5,1,[],[],300.6,-259,12.5,6198,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ea954d9074a4a02c77dd184,23,Male,2020-07-27_16h10.47.786,AvatarAutomaticProl,3.2.2,Win32,60,5ea954d9074a4a02c77dd184,5f1b026ff9f4e82811599350,5f1eebc2c4175b052410d335,,300,200,0,136,3.5,1,[],[],317.3,157.5,12.5,6181,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ea954d9074a4a02c77dd184,23,Male,2020-07-27_16h10.47.786,AvatarAutomaticProl,3.2.2,Win32,60,5ea954d9074a4a02c77dd184,5f1b026ff9f4e82811599350,5f1eebc2c4175b052410d335,,400,-300,0,98,3.5,0,[],[],400.8,-210,2,5014,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
