Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1280,666,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5eac7cc25fe9ad2d823fab6a,21,Male,2020-07-27_16h59.54.926,AvatarAutomaticProl,3.2.2,MacIntel,60,5eac7cc25fe9ad2d823fab6a,5f1b026ff9f4e82811599350,5f1eebd4f54a91054450861f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5eac7cc25fe9ad2d823fab6a,21,Male,2020-07-27_16h59.54.926,AvatarAutomaticProl,3.2.2,MacIntel,60,5eac7cc25fe9ad2d823fab6a,5f1b026ff9f4e82811599350,5f1eebd4f54a91054450861f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5eac7cc25fe9ad2d823fab6a,21,Male,2020-07-27_16h59.54.926,AvatarAutomaticProl,3.2.2,MacIntel,60,5eac7cc25fe9ad2d823fab6a,5f1b026ff9f4e82811599350,5f1eebd4f54a91054450861f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5eac7cc25fe9ad2d823fab6a,21,Male,2020-07-27_16h59.54.926,AvatarAutomaticProl,3.2.2,MacIntel,60,5eac7cc25fe9ad2d823fab6a,5f1b026ff9f4e82811599350,5f1eebd4f54a91054450861f,const,500,400,0,100,3.5,0,[],[],283.9,220.5,9,9570,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5eac7cc25fe9ad2d823fab6a,21,Male,2020-07-27_16h59.54.926,AvatarAutomaticProl,3.2.2,MacIntel,60,5eac7cc25fe9ad2d823fab6a,5f1b026ff9f4e82811599350,5f1eebd4f54a91054450861f,,200,-100,0,110,3.5,1,[],[],517.7,-56,2,7335,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5eac7cc25fe9ad2d823fab6a,21,Male,2020-07-27_16h59.54.926,AvatarAutomaticProl,3.2.2,MacIntel,60,5eac7cc25fe9ad2d823fab6a,5f1b026ff9f4e82811599350,5f1eebd4f54a91054450861f,,200,100,0,132,3.5,1,[],[],334,56,2,6366,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5eac7cc25fe9ad2d823fab6a,21,Male,2020-07-27_16h59.54.926,AvatarAutomaticProl,3.2.2,MacIntel,60,5eac7cc25fe9ad2d823fab6a,5f1b026ff9f4e82811599350,5f1eebd4f54a91054450861f,,400,-300,0,111,3.5,0,[],[],233.8,-248.5,-19,7904,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5eac7cc25fe9ad2d823fab6a,21,Male,2020-07-27_16h59.54.926,AvatarAutomaticProl,3.2.2,MacIntel,60,5eac7cc25fe9ad2d823fab6a,5f1b026ff9f4e82811599350,5f1eebd4f54a91054450861f,,300,200,0,64,3.5,0,[],[],484.3,3.5,19.5,6567,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5eac7cc25fe9ad2d823fab6a,21,Male,2020-07-27_16h59.54.926,AvatarAutomaticProl,3.2.2,MacIntel,60,5eac7cc25fe9ad2d823fab6a,5f1b026ff9f4e82811599350,5f1eebd4f54a91054450861f,,500,400,0,132,3.5,0,[],[],350.7,238,-5,12539,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5eac7cc25fe9ad2d823fab6a,21,Male,2020-07-27_16h59.54.926,AvatarAutomaticProl,3.2.2,MacIntel,60,5eac7cc25fe9ad2d823fab6a,5f1b026ff9f4e82811599350,5f1eebd4f54a91054450861f,,400,-300,0,149,3.5,1,[],[],250.5,-259,12.5,7817,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
