Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1096,709,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5ebd1b6dec7a5d01186cb811,19,Female,2020-07-27_17h01.30.892,AvatarAutomaticProl,3.2.2,MacIntel,60,5ebd1b6dec7a5d01186cb811,5f1b026ff9f4e82811599350,5f1eebc319e99104bd07baab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5ebd1b6dec7a5d01186cb811,19,Female,2020-07-27_17h01.30.892,AvatarAutomaticProl,3.2.2,MacIntel,60,5ebd1b6dec7a5d01186cb811,5f1b026ff9f4e82811599350,5f1eebc319e99104bd07baab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5ebd1b6dec7a5d01186cb811,19,Female,2020-07-27_17h01.30.892,AvatarAutomaticProl,3.2.2,MacIntel,60,5ebd1b6dec7a5d01186cb811,5f1b026ff9f4e82811599350,5f1eebc319e99104bd07baab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ebd1b6dec7a5d01186cb811,19,Female,2020-07-27_17h01.30.892,AvatarAutomaticProl,3.2.2,MacIntel,60,5ebd1b6dec7a5d01186cb811,5f1b026ff9f4e82811599350,5f1eebc319e99104bd07baab,const,400,300,0,64,3.5,0,[],[],367.4,241.5,5.5,7132,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ebd1b6dec7a5d01186cb811,19,Female,2020-07-27_17h01.30.892,AvatarAutomaticProl,3.2.2,MacIntel,60,5ebd1b6dec7a5d01186cb811,5f1b026ff9f4e82811599350,5f1eebc319e99104bd07baab,,200,100,0,102,3.5,1,[],[],267.2,56,-1.5,5867,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ebd1b6dec7a5d01186cb811,19,Female,2020-07-27_17h01.30.892,AvatarAutomaticProl,3.2.2,MacIntel,60,5ebd1b6dec7a5d01186cb811,5f1b026ff9f4e82811599350,5f1eebc319e99104bd07baab,,300,-200,0,79,3.5,1,[],[],434.2,-161,-19,5078,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ebd1b6dec7a5d01186cb811,19,Female,2020-07-27_17h01.30.892,AvatarAutomaticProl,3.2.2,MacIntel,60,5ebd1b6dec7a5d01186cb811,5f1b026ff9f4e82811599350,5f1eebc319e99104bd07baab,,400,-300,0,95,3.5,1,[],[],200.4,-259,9,5457,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ebd1b6dec7a5d01186cb811,19,Female,2020-07-27_17h01.30.892,AvatarAutomaticProl,3.2.2,MacIntel,60,5ebd1b6dec7a5d01186cb811,5f1b026ff9f4e82811599350,5f1eebc319e99104bd07baab,,400,-300,0,114,3.5,0,[],[],334,-231,-8.5,6935,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ebd1b6dec7a5d01186cb811,19,Female,2020-07-27_17h01.30.892,AvatarAutomaticProl,3.2.2,MacIntel,60,5ebd1b6dec7a5d01186cb811,5f1b026ff9f4e82811599350,5f1eebc319e99104bd07baab,,500,-400,0,139,3.5,0,[],[],267.2,-203,-12,6189,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ebd1b6dec7a5d01186cb811,19,Female,2020-07-27_17h01.30.892,AvatarAutomaticProl,3.2.2,MacIntel,60,5ebd1b6dec7a5d01186cb811,5f1b026ff9f4e82811599350,5f1eebc319e99104bd07baab,,300,-200,0,67,3.5,1,[],[],283.9,-157.5,2,4618,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
