Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1366,625,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5ecfea23da3c3208a1ed99c8please enter your prolific ID here,24,male,2020-07-27_12h48.47.814,AvatarAutomaticProl,3.2.2,Win32,60,5ecfea23da3c3208a1ed99c8,5f1b026ff9f4e82811599350,5f1eb0f27f04ad0008cbc65f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5ecfea23da3c3208a1ed99c8please enter your prolific ID here,24,male,2020-07-27_12h48.47.814,AvatarAutomaticProl,3.2.2,Win32,60,5ecfea23da3c3208a1ed99c8,5f1b026ff9f4e82811599350,5f1eb0f27f04ad0008cbc65f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5ecfea23da3c3208a1ed99c8please enter your prolific ID here,24,male,2020-07-27_12h48.47.814,AvatarAutomaticProl,3.2.2,Win32,60,5ecfea23da3c3208a1ed99c8,5f1b026ff9f4e82811599350,5f1eb0f27f04ad0008cbc65f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ecfea23da3c3208a1ed99c8please enter your prolific ID here,24,male,2020-07-27_12h48.47.814,AvatarAutomaticProl,3.2.2,Win32,60,5ecfea23da3c3208a1ed99c8,5f1b026ff9f4e82811599350,5f1eb0f27f04ad0008cbc65f,const,500,400,0,88,3.5,0,[],[],267.2,245,-8.5,8467,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ecfea23da3c3208a1ed99c8please enter your prolific ID here,24,male,2020-07-27_12h48.47.814,AvatarAutomaticProl,3.2.2,Win32,60,5ecfea23da3c3208a1ed99c8,5f1b026ff9f4e82811599350,5f1eb0f27f04ad0008cbc65f,,500,400,0,103,3.5,0,[],[],317.3,231,-8.5,9407,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ecfea23da3c3208a1ed99c8please enter your prolific ID here,24,male,2020-07-27_12h48.47.814,AvatarAutomaticProl,3.2.2,Win32,60,5ecfea23da3c3208a1ed99c8,5f1b026ff9f4e82811599350,5f1eb0f27f04ad0008cbc65f,,300,200,0,132,3.5,1,[],[],417.5,161,16,7879,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ecfea23da3c3208a1ed99c8please enter your prolific ID here,24,male,2020-07-27_12h48.47.814,AvatarAutomaticProl,3.2.2,Win32,60,5ecfea23da3c3208a1ed99c8,5f1b026ff9f4e82811599350,5f1eb0f27f04ad0008cbc65f,,200,-100,0,110,3.5,1,[],[],267.2,-59.5,12.5,4440,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ecfea23da3c3208a1ed99c8please enter your prolific ID here,24,male,2020-07-27_12h48.47.814,AvatarAutomaticProl,3.2.2,Win32,60,5ecfea23da3c3208a1ed99c8,5f1b026ff9f4e82811599350,5f1eb0f27f04ad0008cbc65f,,200,-100,0,135,3.5,1,[],[],334,-56,-5,4925,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ecfea23da3c3208a1ed99c8please enter your prolific ID here,24,male,2020-07-27_12h48.47.814,AvatarAutomaticProl,3.2.2,Win32,60,5ecfea23da3c3208a1ed99c8,5f1b026ff9f4e82811599350,5f1eb0f27f04ad0008cbc65f,,400,300,0,114,3.5,0,[],[],334,238,2,6785,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ecfea23da3c3208a1ed99c8please enter your prolific ID here,24,male,2020-07-27_12h48.47.814,AvatarAutomaticProl,3.2.2,Win32,60,5ecfea23da3c3208a1ed99c8,5f1b026ff9f4e82811599350,5f1eb0f27f04ad0008cbc65f,,400,-300,0,65,3.5,0,[],[],334,-252,5.5,6068,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
