Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1877,979,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5ee7c514b0bcec08a00d6a93,19,Male,2020-07-27_16h59.54.279,AvatarAutomaticProl,3.2.2,Win32,60,5ee7c514b0bcec08a00d6a93,5f1b026ff9f4e82811599350,5f1eebc11a2f150422db6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5ee7c514b0bcec08a00d6a93,19,Male,2020-07-27_16h59.54.279,AvatarAutomaticProl,3.2.2,Win32,60,5ee7c514b0bcec08a00d6a93,5f1b026ff9f4e82811599350,5f1eebc11a2f150422db6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5ee7c514b0bcec08a00d6a93,19,Male,2020-07-27_16h59.54.279,AvatarAutomaticProl,3.2.2,Win32,60,5ee7c514b0bcec08a00d6a93,5f1b026ff9f4e82811599350,5f1eebc11a2f150422db6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ee7c514b0bcec08a00d6a93,19,Male,2020-07-27_16h59.54.279,AvatarAutomaticProl,3.2.2,Win32,60,5ee7c514b0bcec08a00d6a93,5f1b026ff9f4e82811599350,5f1eebc11a2f150422db6406,const,300,200,0,99,3.5,1,[],[],300.6,161,-19,8452,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ee7c514b0bcec08a00d6a93,19,Male,2020-07-27_16h59.54.279,AvatarAutomaticProl,3.2.2,Win32,60,5ee7c514b0bcec08a00d6a93,5f1b026ff9f4e82811599350,5f1eebc11a2f150422db6406,,300,200,0,110,3.5,1,[],[],334,157.5,2,6783,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ee7c514b0bcec08a00d6a93,19,Male,2020-07-27_16h59.54.279,AvatarAutomaticProl,3.2.2,Win32,60,5ee7c514b0bcec08a00d6a93,5f1b026ff9f4e82811599350,5f1eebc11a2f150422db6406,,300,-200,0,82,3.5,1,[],[],367.4,-157.5,-8.5,5017,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ee7c514b0bcec08a00d6a93,19,Male,2020-07-27_16h59.54.279,AvatarAutomaticProl,3.2.2,Win32,60,5ee7c514b0bcec08a00d6a93,5f1b026ff9f4e82811599350,5f1eebc11a2f150422db6406,,500,-400,0,84,3.5,0,[],[],300.6,-231,-1.5,8101,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ee7c514b0bcec08a00d6a93,19,Male,2020-07-27_16h59.54.279,AvatarAutomaticProl,3.2.2,Win32,60,5ee7c514b0bcec08a00d6a93,5f1b026ff9f4e82811599350,5f1eebc11a2f150422db6406,,300,-200,0,120,3.5,1,[],[],250.5,-157.5,2,4600,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ee7c514b0bcec08a00d6a93,19,Male,2020-07-27_16h59.54.279,AvatarAutomaticProl,3.2.2,Win32,60,5ee7c514b0bcec08a00d6a93,5f1b026ff9f4e82811599350,5f1eebc11a2f150422db6406,,200,100,0,145,3.5,1,[],[],567.8,56,-1.5,4800,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ee7c514b0bcec08a00d6a93,19,Male,2020-07-27_16h59.54.279,AvatarAutomaticProl,3.2.2,Win32,60,5ee7c514b0bcec08a00d6a93,5f1b026ff9f4e82811599350,5f1eebc11a2f150422db6406,,400,300,0,62,3.5,0,[],[],367.4,220.5,-12,6649,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
