Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1920,941,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5f1b456e67c7af0f63889518,18,male,2020-07-27_17h23.38.646,AvatarAutomaticProl,3.2.2,Win32,60,5f1b456e67c7af0f63889518,5f1b026ff9f4e82811599350,5f1ef11be5931205b09bf591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5f1b456e67c7af0f63889518,18,male,2020-07-27_17h23.38.646,AvatarAutomaticProl,3.2.2,Win32,60,5f1b456e67c7af0f63889518,5f1b026ff9f4e82811599350,5f1ef11be5931205b09bf591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5f1b456e67c7af0f63889518,18,male,2020-07-27_17h23.38.646,AvatarAutomaticProl,3.2.2,Win32,60,5f1b456e67c7af0f63889518,5f1b026ff9f4e82811599350,5f1ef11be5931205b09bf591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1b456e67c7af0f63889518,18,male,2020-07-27_17h23.38.646,AvatarAutomaticProl,3.2.2,Win32,60,5f1b456e67c7af0f63889518,5f1b026ff9f4e82811599350,5f1ef11be5931205b09bf591,const,400,300,0,93,3.5,0,[],[],384.1,231,-1.5,6462,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1b456e67c7af0f63889518,18,male,2020-07-27_17h23.38.646,AvatarAutomaticProl,3.2.2,Win32,60,5f1b456e67c7af0f63889518,5f1b026ff9f4e82811599350,5f1ef11be5931205b09bf591,,300,-200,0,89,3.5,1,[],[],367.4,-164.5,26.5,5012,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1b456e67c7af0f63889518,18,male,2020-07-27_17h23.38.646,AvatarAutomaticProl,3.2.2,Win32,60,5f1b456e67c7af0f63889518,5f1b026ff9f4e82811599350,5f1ef11be5931205b09bf591,,200,100,0,72,3.5,0,[],[],851.7,3.5,9,4154,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1b456e67c7af0f63889518,18,male,2020-07-27_17h23.38.646,AvatarAutomaticProl,3.2.2,Win32,60,5f1b456e67c7af0f63889518,5f1b026ff9f4e82811599350,5f1ef11be5931205b09bf591,,400,-300,0,147,3.5,0,[],[],217.1,-255.5,16,6256,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1b456e67c7af0f63889518,18,male,2020-07-27_17h23.38.646,AvatarAutomaticProl,3.2.2,Win32,60,5f1b456e67c7af0f63889518,5f1b026ff9f4e82811599350,5f1ef11be5931205b09bf591,,200,-100,0,110,3.5,1,[],[],384.1,-59.5,12.5,4320,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1b456e67c7af0f63889518,18,male,2020-07-27_17h23.38.646,AvatarAutomaticProl,3.2.2,Win32,60,5f1b456e67c7af0f63889518,5f1b026ff9f4e82811599350,5f1ef11be5931205b09bf591,,300,-200,0,90,3.5,1,[],[],417.5,-157.5,-8.5,3692,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1b456e67c7af0f63889518,18,male,2020-07-27_17h23.38.646,AvatarAutomaticProl,3.2.2,Win32,60,5f1b456e67c7af0f63889518,5f1b026ff9f4e82811599350,5f1ef11be5931205b09bf591,,200,100,0,117,3.5,1,[],[],567.8,56,-8.5,3513,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1b456e67c7af0f63889518,18,male,2020-07-27_17h23.38.646,AvatarAutomaticProl,3.2.2,Win32,60,5f1b456e67c7af0f63889518,5f1b026ff9f4e82811599350,5f1ef11be5931205b09bf591,,200,100,0,112,3.5,1,[],[],283.9,59.5,-12,4205,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1b456e67c7af0f63889518,18,male,2020-07-27_17h23.38.646,AvatarAutomaticProl,3.2.2,Win32,60,5f1b456e67c7af0f63889518,5f1b026ff9f4e82811599350,5f1ef11be5931205b09bf591,,400,300,0,150,3.5,1,[],[],250.5,266,26.5,9346,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1b456e67c7af0f63889518,18,male,2020-07-27_17h23.38.646,AvatarAutomaticProl,3.2.2,Win32,60,5f1b456e67c7af0f63889518,5f1b026ff9f4e82811599350,5f1ef11be5931205b09bf591,,500,400,0,129,3.5,0,[],[],300.6,259,12.5,4872,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1b456e67c7af0f63889518,18,male,2020-07-27_17h23.38.646,AvatarAutomaticProl,3.2.2,Win32,60,5f1b456e67c7af0f63889518,5f1b026ff9f4e82811599350,5f1ef11be5931205b09bf591,,200,-100,0,121,3.5,1,[],[],267.2,-56,9,3192,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
