Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1920,969,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5f1eaa90cf077f0008daa7bf,19,Male,2020-07-27_12h48.52.675,AvatarAutomaticProl,3.2.2,Win32,60,5f1eaa90cf077f0008daa7bf,5f1b026ff9f4e82811599350,5f1eb0ea1d97590009697612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5f1eaa90cf077f0008daa7bf,19,Male,2020-07-27_12h48.52.675,AvatarAutomaticProl,3.2.2,Win32,60,5f1eaa90cf077f0008daa7bf,5f1b026ff9f4e82811599350,5f1eb0ea1d97590009697612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5f1eaa90cf077f0008daa7bf,19,Male,2020-07-27_12h48.52.675,AvatarAutomaticProl,3.2.2,Win32,60,5f1eaa90cf077f0008daa7bf,5f1b026ff9f4e82811599350,5f1eb0ea1d97590009697612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1eaa90cf077f0008daa7bf,19,Male,2020-07-27_12h48.52.675,AvatarAutomaticProl,3.2.2,Win32,60,5f1eaa90cf077f0008daa7bf,5f1b026ff9f4e82811599350,5f1eb0ea1d97590009697612,const,200,100,0,147,3.5,1,[],[],217.1,56,-1.5,5917,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1eaa90cf077f0008daa7bf,19,Male,2020-07-27_12h48.52.675,AvatarAutomaticProl,3.2.2,Win32,60,5f1eaa90cf077f0008daa7bf,5f1b026ff9f4e82811599350,5f1eb0ea1d97590009697612,,300,-200,0,100,3.5,1,[],[],283.9,-157.5,9,5116,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1eaa90cf077f0008daa7bf,19,Male,2020-07-27_12h48.52.675,AvatarAutomaticProl,3.2.2,Win32,60,5f1eaa90cf077f0008daa7bf,5f1b026ff9f4e82811599350,5f1eb0ea1d97590009697612,,300,200,0,94,3.5,1,[],[],467.6,157.5,5.5,4699,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1eaa90cf077f0008daa7bf,19,Male,2020-07-27_12h48.52.675,AvatarAutomaticProl,3.2.2,Win32,60,5f1eaa90cf077f0008daa7bf,5f1b026ff9f4e82811599350,5f1eb0ea1d97590009697612,,400,300,0,133,3.5,1,[],[],250.5,269.5,30,11602,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1eaa90cf077f0008daa7bf,19,Male,2020-07-27_12h48.52.675,AvatarAutomaticProl,3.2.2,Win32,60,5f1eaa90cf077f0008daa7bf,5f1b026ff9f4e82811599350,5f1eb0ea1d97590009697612,,500,400,0,91,3.5,0,[],[],267.2,269.5,12.5,6066,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1eaa90cf077f0008daa7bf,19,Male,2020-07-27_12h48.52.675,AvatarAutomaticProl,3.2.2,Win32,60,5f1eaa90cf077f0008daa7bf,5f1b026ff9f4e82811599350,5f1eb0ea1d97590009697612,,300,200,0,69,3.5,1,[],[],334,157.5,-12,4250,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1eaa90cf077f0008daa7bf,19,Male,2020-07-27_12h48.52.675,AvatarAutomaticProl,3.2.2,Win32,60,5f1eaa90cf077f0008daa7bf,5f1b026ff9f4e82811599350,5f1eb0ea1d97590009697612,,500,-400,0,113,3.5,0,[],[],283.9,-245,-1.5,5197,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
