Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1321,680,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5b2408e8a7cee100011d61a7r ,51,male,2020-07-27_16h00.21.955,AvatarAutomaticProl,3.2.2,Win32,60,5b2408e8a7cee100011d61a7,5f1b026ff9f4e82811599350,5f1eebc5a6dae404ccd082f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5b2408e8a7cee100011d61a7r ,51,male,2020-07-27_16h00.21.955,AvatarAutomaticProl,3.2.2,Win32,60,5b2408e8a7cee100011d61a7,5f1b026ff9f4e82811599350,5f1eebc5a6dae404ccd082f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5b2408e8a7cee100011d61a7r ,51,male,2020-07-27_16h00.21.955,AvatarAutomaticProl,3.2.2,Win32,60,5b2408e8a7cee100011d61a7,5f1b026ff9f4e82811599350,5f1eebc5a6dae404ccd082f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b2408e8a7cee100011d61a7r ,51,male,2020-07-27_16h00.21.955,AvatarAutomaticProl,3.2.2,Win32,60,5b2408e8a7cee100011d61a7,5f1b026ff9f4e82811599350,5f1eebc5a6dae404ccd082f4,const,500,-400,0,114,3.5,0,[],[],384.1,-252,16,9336,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b2408e8a7cee100011d61a7r ,51,male,2020-07-27_16h00.21.955,AvatarAutomaticProl,3.2.2,Win32,60,5b2408e8a7cee100011d61a7,5f1b026ff9f4e82811599350,5f1eebc5a6dae404ccd082f4,,500,400,0,133,3.5,0,[],[],250.5,273,5.5,17116,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b2408e8a7cee100011d61a7r ,51,male,2020-07-27_16h00.21.955,AvatarAutomaticProl,3.2.2,Win32,60,5b2408e8a7cee100011d61a7,5f1b026ff9f4e82811599350,5f1eebc5a6dae404ccd082f4,,200,100,0,95,3.5,1,[],[],250.5,59.5,12.5,4966,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b2408e8a7cee100011d61a7r ,51,male,2020-07-27_16h00.21.955,AvatarAutomaticProl,3.2.2,Win32,60,5b2408e8a7cee100011d61a7,5f1b026ff9f4e82811599350,5f1eebc5a6dae404ccd082f4,,300,-200,0,100,3.5,1,[],[],283.9,-157.5,2,5241,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b2408e8a7cee100011d61a7r ,51,male,2020-07-27_16h00.21.955,AvatarAutomaticProl,3.2.2,Win32,60,5b2408e8a7cee100011d61a7,5f1b026ff9f4e82811599350,5f1eebc5a6dae404ccd082f4,,200,-100,0,110,3.5,1,[],[],534.4,-56,9,6382,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b2408e8a7cee100011d61a7r ,51,male,2020-07-27_16h00.21.955,AvatarAutomaticProl,3.2.2,Win32,60,5b2408e8a7cee100011d61a7,5f1b026ff9f4e82811599350,5f1eebc5a6dae404ccd082f4,,300,-200,0,149,3.5,1,[],[],317.3,-157.5,5.5,6133,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b2408e8a7cee100011d61a7r ,51,male,2020-07-27_16h00.21.955,AvatarAutomaticProl,3.2.2,Win32,60,5b2408e8a7cee100011d61a7,5f1b026ff9f4e82811599350,5f1eebc5a6dae404ccd082f4,,200,100,0,86,3.5,1,[],[],417.5,59.5,19.5,8904,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b2408e8a7cee100011d61a7r ,51,male,2020-07-27_16h00.21.955,AvatarAutomaticProl,3.2.2,Win32,60,5b2408e8a7cee100011d61a7,5f1b026ff9f4e82811599350,5f1eebc5a6dae404ccd082f4,,400,-300,0,63,3.5,0,[],[],434.2,-210,-15.5,5648,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b2408e8a7cee100011d61a7r ,51,male,2020-07-27_16h00.21.955,AvatarAutomaticProl,3.2.2,Win32,60,5b2408e8a7cee100011d61a7,5f1b026ff9f4e82811599350,5f1eebc5a6dae404ccd082f4,,300,-200,0,103,3.5,1,[],[],250.5,-161,19.5,4287,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b2408e8a7cee100011d61a7r ,51,male,2020-07-27_16h00.21.955,AvatarAutomaticProl,3.2.2,Win32,60,5b2408e8a7cee100011d61a7,5f1b026ff9f4e82811599350,5f1eebc5a6dae404ccd082f4,,200,-100,0,147,3.5,1,[],[],217.1,-59.5,-12,4866,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b2408e8a7cee100011d61a7r ,51,male,2020-07-27_16h00.21.955,AvatarAutomaticProl,3.2.2,Win32,60,5b2408e8a7cee100011d61a7,5f1b026ff9f4e82811599350,5f1eebc5a6dae404ccd082f4,,500,400,0,106,3.5,0,[],[],233.8,255.5,-5,5886,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b2408e8a7cee100011d61a7r ,51,male,2020-07-27_16h00.21.955,AvatarAutomaticProl,3.2.2,Win32,60,5b2408e8a7cee100011d61a7,5f1b026ff9f4e82811599350,5f1eebc5a6dae404ccd082f4,,200,-100,0,123,3.5,1,[],[],367.4,-59.5,-15.5,5584,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b2408e8a7cee100011d61a7r ,51,male,2020-07-27_16h00.21.955,AvatarAutomaticProl,3.2.2,Win32,60,5b2408e8a7cee100011d61a7,5f1b026ff9f4e82811599350,5f1eebc5a6dae404ccd082f4,,500,400,0,75,3.5,0,[],[],334,133,2,5152,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5b2408e8a7cee100011d61a7r ,51,male,2020-07-27_16h00.21.955,AvatarAutomaticProl,3.2.2,Win32,60,5b2408e8a7cee100011d61a7,5f1b026ff9f4e82811599350,5f1eebc5a6dae404ccd082f4,,300,200,0,149,3.5,1,[],[],300.6,157.5,-1.5,5188,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
