Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1920,969,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5ba8d21cd08ab20001c82ecfplease enter your prolific ID here,29,male,2020-07-27_17h59.31.336,AvatarAutomaticProl,3.2.2,Win32,60,5ba8d21cd08ab20001c82ecf,5f1b026ff9f4e82811599350,5f1eebbb68e3c50505a2f0da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5ba8d21cd08ab20001c82ecfplease enter your prolific ID here,29,male,2020-07-27_17h59.31.336,AvatarAutomaticProl,3.2.2,Win32,60,5ba8d21cd08ab20001c82ecf,5f1b026ff9f4e82811599350,5f1eebbb68e3c50505a2f0da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5ba8d21cd08ab20001c82ecfplease enter your prolific ID here,29,male,2020-07-27_17h59.31.336,AvatarAutomaticProl,3.2.2,Win32,60,5ba8d21cd08ab20001c82ecf,5f1b026ff9f4e82811599350,5f1eebbb68e3c50505a2f0da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ba8d21cd08ab20001c82ecfplease enter your prolific ID here,29,male,2020-07-27_17h59.31.336,AvatarAutomaticProl,3.2.2,Win32,60,5ba8d21cd08ab20001c82ecf,5f1b026ff9f4e82811599350,5f1eebbb68e3c50505a2f0da,const,500,400,0,75,3.5,0,[],[],317.3,252,2,7516,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ba8d21cd08ab20001c82ecfplease enter your prolific ID here,29,male,2020-07-27_17h59.31.336,AvatarAutomaticProl,3.2.2,Win32,60,5ba8d21cd08ab20001c82ecf,5f1b026ff9f4e82811599350,5f1eebbb68e3c50505a2f0da,,200,-100,0,86,3.5,1,[],[],233.8,-59.5,16,4965,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ba8d21cd08ab20001c82ecfplease enter your prolific ID here,29,male,2020-07-27_17h59.31.336,AvatarAutomaticProl,3.2.2,Win32,60,5ba8d21cd08ab20001c82ecf,5f1b026ff9f4e82811599350,5f1eebbb68e3c50505a2f0da,,300,200,0,146,3.5,1,[],[],267.2,157.5,-1.5,5882,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ba8d21cd08ab20001c82ecfplease enter your prolific ID here,29,male,2020-07-27_17h59.31.336,AvatarAutomaticProl,3.2.2,Win32,60,5ba8d21cd08ab20001c82ecf,5f1b026ff9f4e82811599350,5f1eebbb68e3c50505a2f0da,,500,-400,0,145,3.5,0,[],[],300.6,-241.5,12.5,5849,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ba8d21cd08ab20001c82ecfplease enter your prolific ID here,29,male,2020-07-27_17h59.31.336,AvatarAutomaticProl,3.2.2,Win32,60,5ba8d21cd08ab20001c82ecf,5f1b026ff9f4e82811599350,5f1eebbb68e3c50505a2f0da,,500,-400,0,92,3.5,0,[],[],300.6,-266,16,5933,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ba8d21cd08ab20001c82ecfplease enter your prolific ID here,29,male,2020-07-27_17h59.31.336,AvatarAutomaticProl,3.2.2,Win32,60,5ba8d21cd08ab20001c82ecf,5f1b026ff9f4e82811599350,5f1eebbb68e3c50505a2f0da,,500,-400,0,69,3.5,0,[],[],267.2,-210,-1.5,4935,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ba8d21cd08ab20001c82ecfplease enter your prolific ID here,29,male,2020-07-27_17h59.31.336,AvatarAutomaticProl,3.2.2,Win32,60,5ba8d21cd08ab20001c82ecf,5f1b026ff9f4e82811599350,5f1eebbb68e3c50505a2f0da,,200,-100,0,113,3.5,1,[],[],350.7,-59.5,12.5,5203,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
