Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order
Chrome,1600,757,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,const,500,-400,0,104,3.5,0,[],[],250.5,-283.5,23,8020,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,500,-400,0,111,3.5,0,[],[],384.1,-248.5,16,6997,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,300,-200,0,107,3.5,1,[],[],450.9,-157.5,5.5,6123,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,300,-200,0,64,3.5,1,[],[],334,-157.5,5.5,4567,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,200,-100,0,135,3.5,1,[],[],233.8,-56,-1.5,5096,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,400,-300,0,63,3.5,1,[],[],200.4,-255.5,5.5,4949,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,500,400,0,72,3.5,0,[],[],283.9,273,12.5,4980,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
