Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1920,937,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,const,500,400,0,121,3.5,0,[],[],517.7,196,5.5,10370,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,400,-300,0,137,3.5,0,[],[],317.3,-252,9,8773,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,500,-400,0,102,3.5,0,[],[],167,-283.5,19.5,8968,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,200,100,0,117,3.5,1,[],[],334,56,-1.5,6737,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,200,100,0,88,3.5,1,[],[],317.3,56,-1.5,4167,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,300,-200,0,74,3.5,1,[],[],467.6,-157.5,-1.5,4501,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,300,-200,0,122,3.5,1,[],[],534.4,-157.5,12.5,5119,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,400,300,0,101,3.5,0,[],[],400.8,227.5,2,7104,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,400,-300,0,70,3.5,0,[],[],484.3,-182,-12,4631,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,200,100,0,99,3.5,1,[],[],350.7,56,-5,3981,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,200,-100,0,63,3.5,1,[],[],283.9,-59.5,19.5,3965,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,500,-400,0,109,3.5,0,[],[],334,-3.5,9,6798,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,300,-200,0,136,3.5,1,[],[],400.8,-161,-15.5,5230,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,200,-100,0,79,3.5,1,[],[],300.6,-59.5,12.5,3737,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,200,100,0,89,3.5,1,[],[],517.7,56,5.5,4003,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c93106f765dad0015f840ff,20,Male,2020-07-27_17h59.41.296,AvatarAutomaticProl,3.2.2,Win32,60,5c93106f765dad0015f840ff,5f1b026ff9f4e82811599350,5f1eebbd4ebbc005b2d130a3,,400,300,0,126,3.5,0,[],[],417.5,227.5,5.5,7917,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
