Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1280,657,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5ca0e0ca3a7de90015f89e8a,34,female,2020-07-27_16h02.47.156,AvatarAutomaticProl,3.2.2,Win32,60,5ca0e0ca3a7de90015f89e8a,5f1b026ff9f4e82811599350,5f1eebaac19b6d03e6a976bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5ca0e0ca3a7de90015f89e8a,34,female,2020-07-27_16h02.47.156,AvatarAutomaticProl,3.2.2,Win32,60,5ca0e0ca3a7de90015f89e8a,5f1b026ff9f4e82811599350,5f1eebaac19b6d03e6a976bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5ca0e0ca3a7de90015f89e8a,34,female,2020-07-27_16h02.47.156,AvatarAutomaticProl,3.2.2,Win32,60,5ca0e0ca3a7de90015f89e8a,5f1b026ff9f4e82811599350,5f1eebaac19b6d03e6a976bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ca0e0ca3a7de90015f89e8a,34,female,2020-07-27_16h02.47.156,AvatarAutomaticProl,3.2.2,Win32,60,5ca0e0ca3a7de90015f89e8a,5f1b026ff9f4e82811599350,5f1eebaac19b6d03e6a976bb,const,400,-300,0,127,3.5,0,[],[],334,-241.5,5.5,22233,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ca0e0ca3a7de90015f89e8a,34,female,2020-07-27_16h02.47.156,AvatarAutomaticProl,3.2.2,Win32,60,5ca0e0ca3a7de90015f89e8a,5f1b026ff9f4e82811599350,5f1eebaac19b6d03e6a976bb,,300,200,0,106,3.5,1,[],[],283.9,157.5,-12,19121,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ca0e0ca3a7de90015f89e8a,34,female,2020-07-27_16h02.47.156,AvatarAutomaticProl,3.2.2,Win32,60,5ca0e0ca3a7de90015f89e8a,5f1b026ff9f4e82811599350,5f1eebaac19b6d03e6a976bb,,300,-200,0,135,3.5,1,[],[],334,-157.5,12.5,22476,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ca0e0ca3a7de90015f89e8a,34,female,2020-07-27_16h02.47.156,AvatarAutomaticProl,3.2.2,Win32,60,5ca0e0ca3a7de90015f89e8a,5f1b026ff9f4e82811599350,5f1eebaac19b6d03e6a976bb,,200,100,0,107,3.5,1,[],[],384.1,59.5,16,17889,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ca0e0ca3a7de90015f89e8a,34,female,2020-07-27_16h02.47.156,AvatarAutomaticProl,3.2.2,Win32,60,5ca0e0ca3a7de90015f89e8a,5f1b026ff9f4e82811599350,5f1eebaac19b6d03e6a976bb,,500,-400,0,129,3.5,0,[],[],350.7,-234.5,-8.5,22910,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ca0e0ca3a7de90015f89e8a,34,female,2020-07-27_16h02.47.156,AvatarAutomaticProl,3.2.2,Win32,60,5ca0e0ca3a7de90015f89e8a,5f1b026ff9f4e82811599350,5f1eebaac19b6d03e6a976bb,,500,-400,0,150,3.5,0,[],[],384.1,-220.5,-15.5,24646,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5ca0e0ca3a7de90015f89e8a,34,female,2020-07-27_16h02.47.156,AvatarAutomaticProl,3.2.2,Win32,60,5ca0e0ca3a7de90015f89e8a,5f1b026ff9f4e82811599350,5f1eebaac19b6d03e6a976bb,,500,-400,0,97,3.5,0,[],[],367.4,-234.5,-8.5,19568,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
