Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1920,888,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5e93624940aaf46a4f0fb43b,22,female,2020-07-27_12h48.47.678,AvatarAutomaticProl,3.2.2,Win32,60,5e93624940aaf46a4f0fb43b,5f1b026ff9f4e82811599350,5f1eb0f654371500083ce7cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5e93624940aaf46a4f0fb43b,22,female,2020-07-27_12h48.47.678,AvatarAutomaticProl,3.2.2,Win32,60,5e93624940aaf46a4f0fb43b,5f1b026ff9f4e82811599350,5f1eb0f654371500083ce7cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5e93624940aaf46a4f0fb43b,22,female,2020-07-27_12h48.47.678,AvatarAutomaticProl,3.2.2,Win32,60,5e93624940aaf46a4f0fb43b,5f1b026ff9f4e82811599350,5f1eb0f654371500083ce7cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e93624940aaf46a4f0fb43b,22,female,2020-07-27_12h48.47.678,AvatarAutomaticProl,3.2.2,Win32,60,5e93624940aaf46a4f0fb43b,5f1b026ff9f4e82811599350,5f1eb0f654371500083ce7cb,const,200,-100,0,72,3.5,1,[],[],367.4,-59.5,12.5,5695,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e93624940aaf46a4f0fb43b,22,female,2020-07-27_12h48.47.678,AvatarAutomaticProl,3.2.2,Win32,60,5e93624940aaf46a4f0fb43b,5f1b026ff9f4e82811599350,5f1eb0f654371500083ce7cb,,300,200,0,68,3.5,1,[],[],250.5,157.5,-12,4546,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e93624940aaf46a4f0fb43b,22,female,2020-07-27_12h48.47.678,AvatarAutomaticProl,3.2.2,Win32,60,5e93624940aaf46a4f0fb43b,5f1b026ff9f4e82811599350,5f1eb0f654371500083ce7cb,,300,200,0,141,3.5,1,[],[],334,161,19.5,4266,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e93624940aaf46a4f0fb43b,22,female,2020-07-27_12h48.47.678,AvatarAutomaticProl,3.2.2,Win32,60,5e93624940aaf46a4f0fb43b,5f1b026ff9f4e82811599350,5f1eb0f654371500083ce7cb,,500,400,0,130,3.5,0,[],[],283.9,269.5,12.5,6479,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e93624940aaf46a4f0fb43b,22,female,2020-07-27_12h48.47.678,AvatarAutomaticProl,3.2.2,Win32,60,5e93624940aaf46a4f0fb43b,5f1b026ff9f4e82811599350,5f1eb0f654371500083ce7cb,,400,300,0,60,3.5,0,[],[],384.1,217,-5,4106,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e93624940aaf46a4f0fb43b,22,female,2020-07-27_12h48.47.678,AvatarAutomaticProl,3.2.2,Win32,60,5e93624940aaf46a4f0fb43b,5f1b026ff9f4e82811599350,5f1eb0f654371500083ce7cb,,500,-400,0,120,3.5,0,[],[],417.5,-196,-1.5,5087,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e93624940aaf46a4f0fb43b,22,female,2020-07-27_12h48.47.678,AvatarAutomaticProl,3.2.2,Win32,60,5e93624940aaf46a4f0fb43b,5f1b026ff9f4e82811599350,5f1eb0f654371500083ce7cb,,300,200,0,135,3.5,1,[],[],200.4,157.5,2,5038,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
