Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1920,969,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5e9ab5df2893af141343bce7please enter your prolific ID here,29,male,2020-07-27_17h02.21.411,AvatarAutomaticProl,3.2.2,Win32,60,5e9ab5df2893af141343bce7,5f1b026ff9f4e82811599350,5f1eebb043cfbc032404b0e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5e9ab5df2893af141343bce7please enter your prolific ID here,29,male,2020-07-27_17h02.21.411,AvatarAutomaticProl,3.2.2,Win32,60,5e9ab5df2893af141343bce7,5f1b026ff9f4e82811599350,5f1eebb043cfbc032404b0e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5e9ab5df2893af141343bce7please enter your prolific ID here,29,male,2020-07-27_17h02.21.411,AvatarAutomaticProl,3.2.2,Win32,60,5e9ab5df2893af141343bce7,5f1b026ff9f4e82811599350,5f1eebb043cfbc032404b0e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e9ab5df2893af141343bce7please enter your prolific ID here,29,male,2020-07-27_17h02.21.411,AvatarAutomaticProl,3.2.2,Win32,60,5e9ab5df2893af141343bce7,5f1b026ff9f4e82811599350,5f1eebb043cfbc032404b0e0,const,300,-200,0,143,3.5,1,[],[],300.6,-157.5,-1.5,9531,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e9ab5df2893af141343bce7please enter your prolific ID here,29,male,2020-07-27_17h02.21.411,AvatarAutomaticProl,3.2.2,Win32,60,5e9ab5df2893af141343bce7,5f1b026ff9f4e82811599350,5f1eebb043cfbc032404b0e0,,500,400,0,146,3.5,0,[],[],200.4,276.5,5.5,54153,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e9ab5df2893af141343bce7please enter your prolific ID here,29,male,2020-07-27_17h02.21.411,AvatarAutomaticProl,3.2.2,Win32,60,5e9ab5df2893af141343bce7,5f1b026ff9f4e82811599350,5f1eebb043cfbc032404b0e0,,500,-400,0,141,3.5,0,[],[],300.6,-255.5,2,5758,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e9ab5df2893af141343bce7please enter your prolific ID here,29,male,2020-07-27_17h02.21.411,AvatarAutomaticProl,3.2.2,Win32,60,5e9ab5df2893af141343bce7,5f1b026ff9f4e82811599350,5f1eebb043cfbc032404b0e0,,400,300,0,99,3.5,0,[],[],334,248.5,2,15743,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e9ab5df2893af141343bce7please enter your prolific ID here,29,male,2020-07-27_17h02.21.411,AvatarAutomaticProl,3.2.2,Win32,60,5e9ab5df2893af141343bce7,5f1b026ff9f4e82811599350,5f1eebb043cfbc032404b0e0,,300,200,0,139,3.5,1,[],[],350.7,164.5,23,32481,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e9ab5df2893af141343bce7please enter your prolific ID here,29,male,2020-07-27_17h02.21.411,AvatarAutomaticProl,3.2.2,Win32,60,5e9ab5df2893af141343bce7,5f1b026ff9f4e82811599350,5f1eebb043cfbc032404b0e0,,500,-400,0,112,3.5,0,[],[],334,-238,-12,123801,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5e9ab5df2893af141343bce7please enter your prolific ID here,29,male,2020-07-27_17h02.21.411,AvatarAutomaticProl,3.2.2,Win32,60,5e9ab5df2893af141343bce7,5f1b026ff9f4e82811599350,5f1eebb043cfbc032404b0e0,,400,300,0,66,3.5,0,[],[],350.7,213.5,-12,4783,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
