Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1920,937,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5edbe5280d226089aa3b9c7e,18,Male,2020-07-27_11h48.43.306,AvatarAutomaticProl,3.2.2,Win32,60,5edbe5280d226089aa3b9c7e,5f1b026ff9f4e82811599350,5f1eb0f3a44d5d000b4981ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5edbe5280d226089aa3b9c7e,18,Male,2020-07-27_11h48.43.306,AvatarAutomaticProl,3.2.2,Win32,60,5edbe5280d226089aa3b9c7e,5f1b026ff9f4e82811599350,5f1eb0f3a44d5d000b4981ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5edbe5280d226089aa3b9c7e,18,Male,2020-07-27_11h48.43.306,AvatarAutomaticProl,3.2.2,Win32,60,5edbe5280d226089aa3b9c7e,5f1b026ff9f4e82811599350,5f1eb0f3a44d5d000b4981ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5edbe5280d226089aa3b9c7e,18,Male,2020-07-27_11h48.43.306,AvatarAutomaticProl,3.2.2,Win32,60,5edbe5280d226089aa3b9c7e,5f1b026ff9f4e82811599350,5f1eb0f3a44d5d000b4981ff,const,500,400,0,96,3.5,0,[],[],267.2,269.5,9,4185,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5edbe5280d226089aa3b9c7e,18,Male,2020-07-27_11h48.43.306,AvatarAutomaticProl,3.2.2,Win32,60,5edbe5280d226089aa3b9c7e,5f1b026ff9f4e82811599350,5f1eb0f3a44d5d000b4981ff,,500,400,0,84,3.5,0,[],[],300.6,269.5,16,3531,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5edbe5280d226089aa3b9c7e,18,Male,2020-07-27_11h48.43.306,AvatarAutomaticProl,3.2.2,Win32,60,5edbe5280d226089aa3b9c7e,5f1b026ff9f4e82811599350,5f1eb0f3a44d5d000b4981ff,,400,300,0,128,3.5,0,[],[],501,234.5,23,3324,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5edbe5280d226089aa3b9c7e,18,Male,2020-07-27_11h48.43.306,AvatarAutomaticProl,3.2.2,Win32,60,5edbe5280d226089aa3b9c7e,5f1b026ff9f4e82811599350,5f1eb0f3a44d5d000b4981ff,,400,-300,0,124,3.5,0,[],[],283.9,-224,-12,7271,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5edbe5280d226089aa3b9c7e,18,Male,2020-07-27_11h48.43.306,AvatarAutomaticProl,3.2.2,Win32,60,5edbe5280d226089aa3b9c7e,5f1b026ff9f4e82811599350,5f1eb0f3a44d5d000b4981ff,,500,400,0,90,3.5,0,[],[],450.9,231,9,3278,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5edbe5280d226089aa3b9c7e,18,Male,2020-07-27_11h48.43.306,AvatarAutomaticProl,3.2.2,Win32,60,5edbe5280d226089aa3b9c7e,5f1b026ff9f4e82811599350,5f1eb0f3a44d5d000b4981ff,,200,-100,0,146,3.5,1,[],[],350.7,-59.5,16,4514,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5edbe5280d226089aa3b9c7e,18,Male,2020-07-27_11h48.43.306,AvatarAutomaticProl,3.2.2,Win32,60,5edbe5280d226089aa3b9c7e,5f1b026ff9f4e82811599350,5f1eb0f3a44d5d000b4981ff,,200,-100,0,95,3.5,1,[],[],384.1,-59.5,-12,2507,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
