Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1920,969,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5efc76b3901565017a4de0beplease enter your prolific ID here,23,Male,2020-07-27_18h00.49.716,AvatarAutomaticProl,3.2.2,Win32,60,5efc76b3901565017a4de0be,5f1b026ff9f4e82811599350,5f1efa1a7dfbcc06d8342220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5efc76b3901565017a4de0beplease enter your prolific ID here,23,Male,2020-07-27_18h00.49.716,AvatarAutomaticProl,3.2.2,Win32,60,5efc76b3901565017a4de0be,5f1b026ff9f4e82811599350,5f1efa1a7dfbcc06d8342220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5efc76b3901565017a4de0beplease enter your prolific ID here,23,Male,2020-07-27_18h00.49.716,AvatarAutomaticProl,3.2.2,Win32,60,5efc76b3901565017a4de0be,5f1b026ff9f4e82811599350,5f1efa1a7dfbcc06d8342220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5efc76b3901565017a4de0beplease enter your prolific ID here,23,Male,2020-07-27_18h00.49.716,AvatarAutomaticProl,3.2.2,Win32,60,5efc76b3901565017a4de0be,5f1b026ff9f4e82811599350,5f1efa1a7dfbcc06d8342220,const,200,-100,0,98,3.5,1,[],[],551.1,-56,5.5,9682,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5efc76b3901565017a4de0beplease enter your prolific ID here,23,Male,2020-07-27_18h00.49.716,AvatarAutomaticProl,3.2.2,Win32,60,5efc76b3901565017a4de0be,5f1b026ff9f4e82811599350,5f1efa1a7dfbcc06d8342220,,500,-400,0,129,3.5,0,[],[],300.6,-245,-8.5,7668,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5efc76b3901565017a4de0beplease enter your prolific ID here,23,Male,2020-07-27_18h00.49.716,AvatarAutomaticProl,3.2.2,Win32,60,5efc76b3901565017a4de0be,5f1b026ff9f4e82811599350,5f1efa1a7dfbcc06d8342220,,300,200,0,101,3.5,1,[],[],317.3,164.5,-22.5,4899,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5efc76b3901565017a4de0beplease enter your prolific ID here,23,Male,2020-07-27_18h00.49.716,AvatarAutomaticProl,3.2.2,Win32,60,5efc76b3901565017a4de0be,5f1b026ff9f4e82811599350,5f1efa1a7dfbcc06d8342220,,400,300,0,65,3.5,1,[],[],300.6,255.5,2,4516,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5efc76b3901565017a4de0beplease enter your prolific ID here,23,Male,2020-07-27_18h00.49.716,AvatarAutomaticProl,3.2.2,Win32,60,5efc76b3901565017a4de0be,5f1b026ff9f4e82811599350,5f1efa1a7dfbcc06d8342220,,300,200,0,100,3.5,1,[],[],334,157.5,-1.5,5084,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5efc76b3901565017a4de0beplease enter your prolific ID here,23,Male,2020-07-27_18h00.49.716,AvatarAutomaticProl,3.2.2,Win32,60,5efc76b3901565017a4de0be,5f1b026ff9f4e82811599350,5f1efa1a7dfbcc06d8342220,,500,-400,0,143,3.5,0,[],[],283.9,-199.5,-8.5,6949,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5efc76b3901565017a4de0beplease enter your prolific ID here,23,Male,2020-07-27_18h00.49.716,AvatarAutomaticProl,3.2.2,Win32,60,5efc76b3901565017a4de0be,5f1b026ff9f4e82811599350,5f1efa1a7dfbcc06d8342220,,200,-100,0,116,3.5,1,[],[],317.3,-56,-1.5,7716,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
