Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order
Chrome,1366,657,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5f1d879edef5136a796ed7a2,22,Female,2020-07-27_11h48.51.277,AvatarAutomaticProl,3.2.2,Win32,60,5f1d879edef5136a796ed7a2,5f1b026ff9f4e82811599350,5f1eb0e92c3f7200088cdf3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5f1d879edef5136a796ed7a2,22,Female,2020-07-27_11h48.51.277,AvatarAutomaticProl,3.2.2,Win32,60,5f1d879edef5136a796ed7a2,5f1b026ff9f4e82811599350,5f1eb0e92c3f7200088cdf3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5f1d879edef5136a796ed7a2,22,Female,2020-07-27_11h48.51.277,AvatarAutomaticProl,3.2.2,Win32,60,5f1d879edef5136a796ed7a2,5f1b026ff9f4e82811599350,5f1eb0e92c3f7200088cdf3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1d879edef5136a796ed7a2,22,Female,2020-07-27_11h48.51.277,AvatarAutomaticProl,3.2.2,Win32,60,5f1d879edef5136a796ed7a2,5f1b026ff9f4e82811599350,5f1eb0e92c3f7200088cdf3e,const,400,-300,0,68,3.5,0,[],[],250.5,-248.5,-15.5,7894,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1d879edef5136a796ed7a2,22,Female,2020-07-27_11h48.51.277,AvatarAutomaticProl,3.2.2,Win32,60,5f1d879edef5136a796ed7a2,5f1b026ff9f4e82811599350,5f1eb0e92c3f7200088cdf3e,,400,-300,0,96,3.5,1,[],[],250.5,-259,12.5,8692,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1d879edef5136a796ed7a2,22,Female,2020-07-27_11h48.51.277,AvatarAutomaticProl,3.2.2,Win32,60,5f1d879edef5136a796ed7a2,5f1b026ff9f4e82811599350,5f1eb0e92c3f7200088cdf3e,,500,-400,0,138,3.5,0,[],[],417.5,-234.5,5.5,7670,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1d879edef5136a796ed7a2,22,Female,2020-07-27_11h48.51.277,AvatarAutomaticProl,3.2.2,Win32,60,5f1d879edef5136a796ed7a2,5f1b026ff9f4e82811599350,5f1eb0e92c3f7200088cdf3e,,300,-200,0,119,3.5,1,[],[],233.8,-157.5,-5,5541,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1d879edef5136a796ed7a2,22,Female,2020-07-27_11h48.51.277,AvatarAutomaticProl,3.2.2,Win32,60,5f1d879edef5136a796ed7a2,5f1b026ff9f4e82811599350,5f1eb0e92c3f7200088cdf3e,,200,100,0,89,3.5,1,[],[],217.1,56,9,5490,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1d879edef5136a796ed7a2,22,Female,2020-07-27_11h48.51.277,AvatarAutomaticProl,3.2.2,Win32,60,5f1d879edef5136a796ed7a2,5f1b026ff9f4e82811599350,5f1eb0e92c3f7200088cdf3e,,200,100,0,120,3.5,1,[],[],434.2,56,-1.5,5057,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1d879edef5136a796ed7a2,22,Female,2020-07-27_11h48.51.277,AvatarAutomaticProl,3.2.2,Win32,60,5f1d879edef5136a796ed7a2,5f1b026ff9f4e82811599350,5f1eb0e92c3f7200088cdf3e,,200,100,0,85,3.5,1,[],[],384.1,56,2,4425,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1d879edef5136a796ed7a2,22,Female,2020-07-27_11h48.51.277,AvatarAutomaticProl,3.2.2,Win32,60,5f1d879edef5136a796ed7a2,5f1b026ff9f4e82811599350,5f1eb0e92c3f7200088cdf3e,,500,400,0,144,3.5,0,[],[],350.7,255.5,16,6839,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1d879edef5136a796ed7a2,22,Female,2020-07-27_11h48.51.277,AvatarAutomaticProl,3.2.2,Win32,60,5f1d879edef5136a796ed7a2,5f1b026ff9f4e82811599350,5f1eb0e92c3f7200088cdf3e,,300,200,0,68,3.5,1,[],[],417.5,157.5,-5,4562,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1d879edef5136a796ed7a2,22,Female,2020-07-27_11h48.51.277,AvatarAutomaticProl,3.2.2,Win32,60,5f1d879edef5136a796ed7a2,5f1b026ff9f4e82811599350,5f1eb0e92c3f7200088cdf3e,,400,-300,0,102,3.5,1,[],[],334,-262.5,19.5,5779,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
