Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1229,603,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5f1db362b7b8a26ee4e9ad30,20,Male,2020-07-27_13h48.08.555,AvatarAutomaticProl,3.2.2,Win32,60,5f1db362b7b8a26ee4e9ad30,5f1b026ff9f4e82811599350,5f1eb0c5c9fd2400099da54f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5f1db362b7b8a26ee4e9ad30,20,Male,2020-07-27_13h48.08.555,AvatarAutomaticProl,3.2.2,Win32,60,5f1db362b7b8a26ee4e9ad30,5f1b026ff9f4e82811599350,5f1eb0c5c9fd2400099da54f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5f1db362b7b8a26ee4e9ad30,20,Male,2020-07-27_13h48.08.555,AvatarAutomaticProl,3.2.2,Win32,60,5f1db362b7b8a26ee4e9ad30,5f1b026ff9f4e82811599350,5f1eb0c5c9fd2400099da54f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1db362b7b8a26ee4e9ad30,20,Male,2020-07-27_13h48.08.555,AvatarAutomaticProl,3.2.2,Win32,60,5f1db362b7b8a26ee4e9ad30,5f1b026ff9f4e82811599350,5f1eb0c5c9fd2400099da54f,const,500,-400,0,68,3.5,0,[],[],233.8,-255.5,33.5,6300,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1db362b7b8a26ee4e9ad30,20,Male,2020-07-27_13h48.08.555,AvatarAutomaticProl,3.2.2,Win32,60,5f1db362b7b8a26ee4e9ad30,5f1b026ff9f4e82811599350,5f1eb0c5c9fd2400099da54f,,500,-400,0,125,3.5,0,[],[],200.4,-231,-15.5,6926,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1db362b7b8a26ee4e9ad30,20,Male,2020-07-27_13h48.08.555,AvatarAutomaticProl,3.2.2,Win32,60,5f1db362b7b8a26ee4e9ad30,5f1b026ff9f4e82811599350,5f1eb0c5c9fd2400099da54f,,300,-200,0,70,3.5,1,[],[],384.1,-164.5,-22.5,5651,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1db362b7b8a26ee4e9ad30,20,Male,2020-07-27_13h48.08.555,AvatarAutomaticProl,3.2.2,Win32,60,5f1db362b7b8a26ee4e9ad30,5f1b026ff9f4e82811599350,5f1eb0c5c9fd2400099da54f,,200,-100,0,146,3.5,1,[],[],283.9,-63,23,5384,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1db362b7b8a26ee4e9ad30,20,Male,2020-07-27_13h48.08.555,AvatarAutomaticProl,3.2.2,Win32,60,5f1db362b7b8a26ee4e9ad30,5f1b026ff9f4e82811599350,5f1eb0c5c9fd2400099da54f,,300,200,0,141,3.5,1,[],[],250.5,161,19.5,5686,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1db362b7b8a26ee4e9ad30,20,Male,2020-07-27_13h48.08.555,AvatarAutomaticProl,3.2.2,Win32,60,5f1db362b7b8a26ee4e9ad30,5f1b026ff9f4e82811599350,5f1eb0c5c9fd2400099da54f,,200,100,0,64,3.5,1,[],[],217.1,59.5,-15.5,4935,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1db362b7b8a26ee4e9ad30,20,Male,2020-07-27_13h48.08.555,AvatarAutomaticProl,3.2.2,Win32,60,5f1db362b7b8a26ee4e9ad30,5f1b026ff9f4e82811599350,5f1eb0c5c9fd2400099da54f,,500,400,0,118,3.5,0,[],[],283.9,262.5,5.5,5445,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
