Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1920,979,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,5f1e9c0c2c833f42a6afc2a4,18,male,2020-07-27_16h59.44.181,AvatarAutomaticProl,3.2.2,Win32,60,5f1e9c0c2c833f42a6afc2a4,5f1b026ff9f4e82811599350,5f1eebb49096ab054c0327b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5f1e9c0c2c833f42a6afc2a4,18,male,2020-07-27_16h59.44.181,AvatarAutomaticProl,3.2.2,Win32,60,5f1e9c0c2c833f42a6afc2a4,5f1b026ff9f4e82811599350,5f1eebb49096ab054c0327b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,5f1e9c0c2c833f42a6afc2a4,18,male,2020-07-27_16h59.44.181,AvatarAutomaticProl,3.2.2,Win32,60,5f1e9c0c2c833f42a6afc2a4,5f1b026ff9f4e82811599350,5f1eebb49096ab054c0327b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1e9c0c2c833f42a6afc2a4,18,male,2020-07-27_16h59.44.181,AvatarAutomaticProl,3.2.2,Win32,60,5f1e9c0c2c833f42a6afc2a4,5f1b026ff9f4e82811599350,5f1eebb49096ab054c0327b4,const,400,300,0,126,3.5,0,[],[],250.5,171.5,-15.5,12199,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1e9c0c2c833f42a6afc2a4,18,male,2020-07-27_16h59.44.181,AvatarAutomaticProl,3.2.2,Win32,60,5f1e9c0c2c833f42a6afc2a4,5f1b026ff9f4e82811599350,5f1eebb49096ab054c0327b4,,500,-400,0,136,3.5,0,[],[],367.4,-203,-8.5,9999,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1e9c0c2c833f42a6afc2a4,18,male,2020-07-27_16h59.44.181,AvatarAutomaticProl,3.2.2,Win32,60,5f1e9c0c2c833f42a6afc2a4,5f1b026ff9f4e82811599350,5f1eebb49096ab054c0327b4,,300,-200,0,136,3.5,1,[],[],334,-157.5,2,18300,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1e9c0c2c833f42a6afc2a4,18,male,2020-07-27_16h59.44.181,AvatarAutomaticProl,3.2.2,Win32,60,5f1e9c0c2c833f42a6afc2a4,5f1b026ff9f4e82811599350,5f1eebb49096ab054c0327b4,,200,100,0,78,3.5,1,[],[],384.1,59.5,19.5,5900,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1e9c0c2c833f42a6afc2a4,18,male,2020-07-27_16h59.44.181,AvatarAutomaticProl,3.2.2,Win32,60,5f1e9c0c2c833f42a6afc2a4,5f1b026ff9f4e82811599350,5f1eebb49096ab054c0327b4,,300,-200,0,113,3.5,1,[],[],233.8,-164.5,26.5,12803,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1e9c0c2c833f42a6afc2a4,18,male,2020-07-27_16h59.44.181,AvatarAutomaticProl,3.2.2,Win32,60,5f1e9c0c2c833f42a6afc2a4,5f1b026ff9f4e82811599350,5f1eebb49096ab054c0327b4,,400,300,0,95,3.5,0,[],[],434.2,224,19.5,12550,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5f1e9c0c2c833f42a6afc2a4,18,male,2020-07-27_16h59.44.181,AvatarAutomaticProl,3.2.2,Win32,60,5f1e9c0c2c833f42a6afc2a4,5f1b026ff9f4e82811599350,5f1eebb49096ab054c0327b4,,400,300,0,96,3.5,0,[],[],434.2,252,23,11718,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
