Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,SESSION_ID,STUDY_ID,preview,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1920,947,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,const,200,-100,0,85,3.5,1,[],[],317.3,-59.5,12.5,3665,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,200,100,0,65,3.5,1,[],[],200.4,56,-1.5,3400,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,-200,0,133,3.5,1,[],[],367.4,-157.5,-1.5,5016,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,-400,0,104,3.5,0,[],[],300.6,-266,9,5283,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,400,-300,0,68,3.5,0,[],[],317.3,-231,-1.5,4267,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,400,300,0,137,3.5,0,[],[],317.3,238,12.5,5399,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,-400,0,120,3.5,0,[],[],367.4,-213.5,-1.5,5332,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
