Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,2560,1297,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,const,500,400,0,132,3.5,0,[],[],283.9,217,-5,5438,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,400,-300,0,72,3.5,1,[],[],200.4,-255.5,5.5,3400,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,300,200,0,127,3.5,1,[],[],350.7,157.5,9,3290,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,200,100,0,100,3.5,1,[],[],467.6,56,-8.5,2983,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,200,-100,0,83,3.5,1,[],[],434.2,-56,-8.5,2762,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,200,100,0,138,3.5,1,[],[],283.9,56,9,2920,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,500,400,0,127,3.5,0,[],[],250.5,255.5,-8.5,3651,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,500,-400,0,125,3.5,0,[],[],317.3,-238,-12,3936,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,200,-100,0,77,3.5,1,[],[],367.4,-56,2,2357,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,200,-100,0,145,3.5,1,[],[],484.3,-56,9,2754,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,400,300,0,66,3.5,0,[],[],501,168,-22.5,2684,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,500,-400,0,64,3.5,0,[],[],300.6,-234.5,-15.5,2416,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,200,100,0,133,3.5,0,[],[],317.3,3.5,-19,2907,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,300,-200,0,112,3.5,1,[],[],233.8,-157.5,-5,2967,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,300,-200,0,107,3.5,1,[],[],367.4,-157.5,-8.5,2862,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5d089072c65537001a08d156,31,Female,2020-07-27_11h52.41.624,AvatarAutomaticProl,3.2.2,Win32,60,5d089072c65537001a08d156,5f1b026ff9f4e82811599350,5f1eb0f7b6266600099dd9ee,,400,-300,0,82,3.5,0,[],[],334,-224,19.5,2343,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
