Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order
Chrome,1920,937,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,const,500,-400,0,123,3.5,0,[],[],283.9,-262.5,23,9133,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,300,200,0,128,3.5,1,[],[],317.3,161,19.5,7814,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,400,300,0,96,3.5,0,[],[],384.1,241.5,9,9931,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,400,-300,0,63,3.5,0,[],[],350.7,-252,12.5,5786,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,200,100,0,70,3.5,1,[],[],417.5,56,-1.5,4786,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,400,300,0,89,3.5,0,[],[],534.4,178.5,2,5569,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,400,300,0,147,3.5,0,[],[],484.3,210,12.5,6540,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
