"participant_id","status","Sex","age","Country.of.Birth","Condition","phone","screenSmall","file_present","full_set","checked"
"5b2408e8a7cee100011d61a7","AWAITING REVIEW","Male",51,"Ireland","ProlificAuto","False","False","True","True","All good"
"5b3344d76d601d0001d623ee","RETURNED","CONSENT REVOKED",27,"CONSENT REVOKED","ProlificAuto","False","False","False","False","No File"
"5b5896dc4f5ac5000192f36a","APPROVED","Female",49,"United Kingdom","ProlificAuto","False","False","True","True","All good"
"5b830542b0d72600018dc280","AWAITING REVIEW","Female",29,"Hungary","ProlificAuto","False","False","True","True","All good"
"5ba8d21cd08ab20001c82ecf","AWAITING REVIEW","Male",29,"Russian Federation","ProlificAuto","False","False","True","True","All good"
"5bf9157e8e9c9d000109f674","AWAITING REVIEW","Male",24,"Latvia","ProlificAuto","False","False","True","True","All good"
"5c08450f5b32d500012e371b","RETURNED","CONSENT REVOKED",25,"CONSENT REVOKED","ProlificAuto","False","False","True","False","Crashed"
"5c93106f765dad0015f840ff","AWAITING REVIEW","Male",20,"Estonia","ProlificAuto","False","False","True","True","All good"
"5ca0e0ca3a7de90015f89e8a","ACTIVE","Female",34,"United Kingdom","ProlificAuto","False","False","True","True","All good"
"5d089072c65537001a08d156","APPROVED","Female",31,"United Kingdom","ProlificAuto","False","False","True","True","All good"
"5d1f5c20aaa27b001954de31","AWAITING REVIEW","Male",22,"Greece","ProlificAuto","False","False","True","True","All good"
"5d489bb062ed9000157adb20","APPROVED","Female",28,"Croatia","ProlificAuto","False","False","True","True","All good"
"5dc9ef9a5d81cd71153f8f70","ACTIVE","Female",20,"Romania","ProlificAuto","False","False","True","True","All good"
"5e307812c0b28907a0a74027","APPROVED","Female",35,"Portugal","ProlificAuto","False","False","True","True","All good"
"5e820a415b6ebc01e6cd81a8","AWAITING REVIEW","Female",29,"Italy","ProlificAuto","False","False","True","True","All good"
"5e8346cef38186069077abef","AWAITING REVIEW","Male",29,"Italy","ProlificAuto","False","False","True","True","All good"
"5e8b2a3044d8747e29550203","AWAITING REVIEW","Male",20,"Australia","ProlificAuto","False","False","True","True","All good"
"5e93624940aaf46a4f0fb43b","APPROVED","Female",22,"South Africa","ProlificAuto","False","False","True","True","All good"
"5e9ab5df2893af141343bce7","ACTIVE","Male",29,"Hungary","ProlificAuto","False","False","True","True","All good"
"5ea954d9074a4a02c77dd184","ACTIVE","Male",23,"Portugal","ProlificAuto","False","False","True","True","All good"
"5eab3ab6f32e3b10405dafeb","AWAITING REVIEW","Female",27,"Greece","ProlificAuto","False","False","True","True","All good"
"5eac7cc25fe9ad2d823fab6a","ACTIVE","Male",22,"Italy","ProlificAuto","False","False","True","True","All good"
"5ebd1b6dec7a5d01186cb811","AWAITING REVIEW","Female",19,"Poland","ProlificAuto","False","False","True","True","All good"
"5ec79d5d4f89b82002134fe1","ACTIVE","Male",21,"Portugal","ProlificAuto","False","False","False","False","No File"
"5ecfea23da3c3208a1ed99c8","APPROVED","Male",26,"Poland","ProlificAuto","False","False","True","True","All good"
"5edbe5280d226089aa3b9c7e","APPROVED","Male",18,"Portugal","ProlificAuto","False","False","True","True","All good"
"5ee7c514b0bcec08a00d6a93","AWAITING REVIEW","Male",19,"Poland","ProlificAuto","False","False","True","True","All good"
"5efcc4c2df2a840acee97095","RETURNED","CONSENT REVOKED",19,"CONSENT REVOKED","ProlificAuto","False","False","False","False","No File"
"5f1b456e67c7af0f63889518","ACTIVE","Male",24,"Poland","ProlificAuto","False","False","True","True","All good"
"5f1d879edef5136a796ed7a2","APPROVED","Female",22,"United Kingdom","ProlificAuto","False","False","True","True","All good"
"5f1db362b7b8a26ee4e9ad30","APPROVED","Male",20,"Estonia","ProlificAuto","False","False","True","True","All good"
"5f1e933193414a0009e621f8","RETURNED","CONSENT REVOKED",31,"CONSENT REVOKED","ProlificAuto","False","False","False","False","No File"
"5f1e9c0c2c833f42a6afc2a4","AWAITING REVIEW","Male",18,"Poland","ProlificAuto","False","False","True","True","All good"
"5f1eaa90cf077f0008daa7bf","APPROVED","Male",19,"Poland","ProlificAuto","False","False","True","True","All good"
"573b7b1967421f000e19125e","APPROVED","Male",36,"United Kingdom","ProlificManual","False","False","True","True","All good"
